#station,X,Y,Z
dsa-0066,-2035806.9652927609,-4483908.007346975,4042613.0864802515
dsa-0067,-2036291.6782016624,-4483530.411271794,4042786.721921216
dsa-0068,-2037860.1237020998,-4484836.936470291,4040560.8560322146
dsa-0069,-2037778.6386281261,-4485955.933182354,4039368.1618988346
dsa-0070,-2036845.4523355104,-4486556.760193773,4039172.9357291325
dsa-0071,-2037958.8362920568,-4483746.416743272,4041713.939210286
dsa-0072,-2038283.2763040974,-4484662.544409481,4040541.4831835395
dsa-0073,-2034960.4262217386,-4484920.398427345,4041920.732598959
dsa-0074,-2034977.7616989715,-4484787.701066318,4042058.3526178817
dsa-0075,-2038123.9485347357,-4485677.149959312,4039502.6461817906
dsa-0076,-2038463.5860965787,-4484936.222489541,4040149.4839753374
dsa-0077,-2037686.1990129165,-4483761.603096974,4041833.6878860802
dsa-0078,-2036011.8863938854,-4483782.200197453,4042649.198215005
dsa-0079,-2034959.4627537457,-4485890.363010395,4040851.8296059174
dsa-0080,-2037999.6926454992,-4485946.24601401,4039268.174733844
dsa-0081,-2036545.638281153,-4483582.806371022,4042601.8151864205
dsa-0082,-2038300.8115667568,-4484317.637424207,4040912.9641592856
dsa-0083,-2028846.209963701,-4488281.79673495,4041267.0509501835
dsa-0084,-2037104.921638265,-4483620.710160878,4042280.0297522065
dsa-0085,-2035776.7075060154,-4483958.365685109,4042572.7145355456
dsa-0086,-2035092.286043417,-4486527.853301664,4040082.5010457463
dsa-0087,-2036808.0620794324,-4486488.067657454,4039267.3880581306
dsa-0088,-2038498.212681713,-4485121.80021669,4039927.5493864496
dsa-0089,-2035056.148225968,-4486361.576766426,4040283.9126577787
dsa-0090,-2034701.8640906462,-4485303.977432382,4041627.282105682
dsa-0091,-2036102.6619145323,-4486620.796357017,4039474.202392226
dsa-0092,-2042144.6302211764,-4480092.279111456,4043639.3337573363
dsa-0093,-2035527.3181795469,-4483897.4716975335,4042764.70301282
dsa-0094,-2037109.2348593003,-4486657.109642619,4038930.241900017
dsa-0095,-2035316.034633691,-4486399.74923571,4040111.7194392625
dsa-0096,-2036076.6217613525,-4486816.680248575,4039271.2771242955
dsa-0097,-2035345.8245051864,-4484278.59750944,4042435.374037032
dsa-0098,-2037851.9230444592,-4486442.444171948,4038795.095135712
dsa-0099,-2038392.3044617905,-4484629.3298349865,4040523.518976381
dsa-0100,-2034680.5745048665,-4484905.896962899,4042076.8238717024
dsa-0101,-2038397.9171160478,-4485642.749296583,4039403.4147737613
